InternationalMaritimeOrganizationNumber,VesselTypeName,VesselStatusName,DeadWeightTonnage,Speed,ManagementcompanyCode,ManagementCompany
9221918,Crude Oil Tanker,In Trading Fleet,299498,13.5,6184274,Sisalana Technik Ltd
9222027,Passenger/Ro-Ro Ship (Vehicles),In Trading Fleet,502,33,4063667,Tavous Beheshti Kish Co
9222118,Container Ship (Fully Cellular),In Trading Fleet,34627,22.09,5808451,Maersk A/S
9222132,Products Tanker,In Trading Fleet,72910,14.9,6090273,Optra Shipping Ltd
9222273,Container Ship (Fully Cellular),In Trading Fleet,77941,26.3,984566,NSB Niederelbe Schiffahrtsgesellschaft mbH & Co KG (NSB Group)
9222302,Container Ship (Fully Cellular),In Trading Fleet,80238,25.95,1535947,MSC Shipmanagement Ltd
9222352,General Cargo Ship,In Trading Fleet,6404,16.9,5779287,Schuyler Line Navigation Co LLC
9222376,Products Tanker,In Trading Fleet,40643,14.5,1124785,Hua Hai Petroleum Transport & Marketing Co Ltd
9222481,Bulk Carrier,In Trading Fleet,52342,14.57,6191792,Moral Bright International Ltd
9222510,Bulk Carrier,In Trading Fleet,52407,14.33,1125205,Thoresen & Co (Bangkok) Ltd
9222546,Bulk Carrier,In Trading Fleet,28294,14,6150931,Shenzhen Penghai Shipping Co Ltd
9222716,Products Tanker,In Trading Fleet,16476,13.5,5694749,PT Vektor Maritim
9222730,Bulk Carrier,In Trading Fleet,170085,14.5,882415,Formosa Plastics Marine Corp (FPMC)
9222742,Bulk Carrier,In Trading Fleet,170085,14.5,882415,Formosa Plastics Marine Corp (FPMC)
9222974,Container Ship (Fully Cellular),In Trading Fleet,68196,24.9,1605338,Technomar Shipping Inc
9222986,Container Ship (Fully Cellular),In Trading Fleet,68131,24.9,1605338,Technomar Shipping Inc
9223174,Bulk Carrier,In Trading Fleet,50169,14.5,1252195,Eastern Mediterranean Maritime Ltd (EASTMED)
9223590,Bulk Carrier,In Trading Fleet,172502,14.7,5638037,Berge Bulk Maritime Pte Ltd
9223643,Bulk Carrier,In Trading Fleet,16213,13.8,4115388,O Cetinkaya Denizcilik Transport ve Ticaret Ltd Sti
9223772,Container Ship (Fully Cellular),In Trading Fleet,25723,20.2,5193283,Shanghai Ocean Shipping Co Ltd
9223813,Bulk Carrier,In Trading Fleet,27028,14.5,9991001,Unknown
9223851,Chemical/Products Tanker,In Trading Fleet,27912,14.5,731472,Marnavi SpA
9223904,General Cargo Ship,In Trading Fleet,17531,14,1303580,Intership Navigation Co Ltd (ISN)
9223916,Chemical/Products Tanker,In Trading Fleet,20583,14.5,5528362,Global Marine Ship Management Co Ltd
9223992,Bulk Carrier,In Trading Fleet,52380,14.33,5142491,TOSCO KEYMAX International Ship Management Co Ltd
9224025,Bulk Carrier,In Trading Fleet,76015,13.9,5952927,Forth Shipping Co
9224049,Container Ship (Fully Cellular),In Trading Fleet,29804,20.4,1535947,MSC Shipmanagement Ltd
9224130,General Cargo Ship,In Trading Fleet,7873,15,5932181,Mini Project Shipping Ltd
9224142,General Cargo Ship,In Trading Fleet,7200,12,5546284,Corrib Ship Management Ltd
9224283,Crude Oil Tanker,In Trading Fleet,160200,15.55,1313802,V Ships Norway AS
9224350,Container Ship (Fully Cellular),In Trading Fleet,9164,16.5,6103638,Great Honor International Ship Management Co Ltd
9224441,Crude Oil Tanker,In Trading Fleet,159106,15.24,6206889,Imza Marin Denizcilik AS
9224477,Bulk Carrier,In Trading Fleet,74756,14.5,5507300,Tianjin Cosbulk Ship Management Co Ltd
9224570,Products Tanker,In Trading Fleet,47065,13.52,5036183,Hanan Shipping LLC
9224661,Bulk Carrier,In Trading Fleet,50296,14.5,5733282,NVL Trans Shipping Ltd
9224740,Bulk Carrier,In Trading Fleet,172424,14.9,5377747,Goodwood Ship Management Pte Ltd
9224790,Bulk Carrier,In Trading Fleet,74066,14.77,6144804,Golden Lotus Oil Gas & Real Estate JSC
9224958,Container Ship (Fully Cellular),In Trading Fleet,30442,21.5,1605338,Technomar Shipping Inc
9225029,Bulk Carrier,In Trading Fleet,75243,14.2,5713378,Seacon Ships Management Co Ltd
9225031,Bulk Carrier,In Trading Fleet,75319,15.2,6132174,IBE Holding Co Ltd
9225055,Bulk Carrier,In Trading Fleet,75211,14.15,1393349,Nanjing Ocean Shipping Co Ltd
9225067,Bulk Carrier,In Trading Fleet,76058,13.7,1755263,KLC SM Co Ltd
9225081,Crude Oil Tanker,In Trading Fleet,164859,15.55,945348,Ditas Deniz Isletmeciligi ve Tankerciligi AS
9225093,General Cargo Ship,In Trading Fleet,6264,15.5,9991001,Unknown
9225196,Bulk Carrier,In Trading Fleet,74710,14.5,6036345,Zhoushan Xiehai Ship Management Co Ltd
9225263,General Cargo Ship,In Trading Fleet,12418,20,53381,Tropical Shipping & Construction Co Ltd LLC
9225275,General Cargo Ship,In Trading Fleet,12418,20,53381,Tropical Shipping & Construction Co Ltd LLC
9225512,Bulk Carrier,In Trading Fleet,28520,13.59,1107402,Shenzhen Pengxing Shipping Co Ltd
9225524,Bulk Carrier,In Trading Fleet,48893,14,5948880,S-Bulkers Ltd
9225562,General Cargo Ship,In Trading Fleet,4111,11,5636870,Reederei Lehmann GmbH & Co KG
9225770,Container Ship (Fully Cellular),In Trading Fleet,30453,21.5,1605338,Technomar Shipping Inc
9226009,Chemical/Products Tanker,In Trading Fleet,19819,15.5,5003176,Salmar Shipping Ltd
9226011,Products Tanker,In Trading Fleet,47084,13.52,1746384,Bien Dong Shipping Co Ltd (Bien Dong)
9226035,Open Hatch Cargo Ship,In Trading Fleet,48000,16.91,1333527,Thor Dahl Shipmanagement AS
9226061,Open Hatch Cargo Ship,In Trading Fleet,45000,16.91,1333527,Thor Dahl Shipmanagement AS
9226126,Palletised Cargo Ship,In Trading Fleet,1050,11,5347531,Ulvan Personal AS
9226396,"Bulk Carrier, Self-discharging",In Trading Fleet,28115,14.1,1880399,CSL Australia Pty Ltd
9226425,Container Ship (Fully Cellular),In Trading Fleet,33987,21,22438,Danaos Shipping Co Ltd
9226566,Bunkering Tanker,In Trading Fleet,3514,13,1991146,LLC 'Kontur SPB' (OOO 'Kontur-SPB')
9226607,LPG Tanker,In Trading Fleet,3828,13.5,5904569,KSS Marine Co Ltd
9226695,General Cargo Ship,In Trading Fleet,7072,16.5,9991001,Unknown
9226750,Bulk Carrier,In Trading Fleet,51535,14.4,6059869,Shanghai Xin Hai Shipping Co Ltd
9226774,General Cargo Ship,In Trading Fleet,4630.8,9,235818,Schiffahrtskontor Tom Worden GmbH & Co KG
9226920,Container Ship (Fully Cellular),In Trading Fleet,85806,24,750415,Mediterranean Shipping Co Srl
9226932,Container Ship (Fully Cellular),In Trading Fleet,85820,24,1535947,MSC Shipmanagement Ltd
9226944,Bulk Carrier,In Trading Fleet,72162,14.5,5466371,Rahbaran Omid Darya Ship Management Co
9226982,Bulk Carrier,In Trading Fleet,75955,14,9991001,Unknown
9226994,Bulk Carrier,In Trading Fleet,75940,14.5,5507300,Tianjin Cosbulk Ship Management Co Ltd
9227015,Container Ship (Fully Cellular),In Trading Fleet,50790,23.99,5001170,Seaspan Ship Management Ltd
9227039,Container Ship (Fully Cellular),In Trading Fleet,50790,23.49,5001170,Seaspan Ship Management Ltd
9227194,Bulk Carrier,In Trading Fleet,74077,14.45,1474936,Charterwell Maritime SA
9227211,Products Tanker,In Trading Fleet,5654,12,1317028,Alba Petroleum Ltd
9227261,LPG Tanker,In Trading Fleet,3785,15,5787052,Ultraship ApS
9227273,Container Ship (Fully Cellular),In Trading Fleet,51060,22.5,6096697,Tsakos Conbulk Services (TCB) Ltd
9227285,Container Ship (Fully Cellular),In Trading Fleet,51059,22.5,9991001,Unknown
9227302,Container Ship (Fully Cellular),In Trading Fleet,53410,25,1535947,MSC Shipmanagement Ltd
9227326,Container Ship (Fully Cellular),In Trading Fleet,53462,25,1535947,MSC Shipmanagement Ltd
9227376,Bulk Carrier,In Trading Fleet,170188,14.5,67761,Marmaras Navigation Ltd
9227388,Bulk Carrier,In Trading Fleet,170109,14.35,67761,Marmaras Navigation Ltd
9227455,Crude Oil Tanker,Broken Up,159990,15.5,9991001,Unknown
9227479,Crude Oil Tanker,In Trading Fleet,306317,15.05,6074463,Golden Ships Management Co Ltd
9227649,Bulk Carrier,In Trading Fleet,75121,14.5,517691,Chios Navigation (Hellas) Ltd
9227675,Bulk Carrier,In Trading Fleet,74107,14.5,52193,Apeejay Shipping Ltd
9227704,Bulk Carrier,In Trading Fleet,73652,14.5,5513878,Dia Yuan International Shipping Co Ltd
9227792,Bulk Carrier,In Trading Fleet,50296,13.5,5935111,Worldera Corporation Pte Ltd
9227819,Bulk Carrier,In Trading Fleet,50296,13.5,533660,Navegadora Transpacifica SA
9227857,Bulk Carrier,In Trading Fleet,19225,13.8,5949389,Master Ship Management Ltd
9227869,Bulk Carrier,In Trading Fleet,18320,13.5,6153100,Beatrix Enterprises Co
9227900,Vehicles Carrier,In Trading Fleet,12594,20.1,187017,Grimaldi Euromed SpA
9228021,Bulk Carrier,In Trading Fleet,50992,14.5,6186474,Shanghai Qiguan Ship Management Co Ltd
9228069,Bulk Carrier,In Trading Fleet,74204,14.5,9991001,Unknown
9228083,Bulk Carrier,In Trading Fleet,50992,14,5753237,Sea Ray Shipping Co Ltd
9228095,Bulk Carrier,In Trading Fleet,50955,14,5513878,Dia Yuan International Shipping Co Ltd
9228100,Bulk Carrier,In Trading Fleet,50992,14,1996491,Gulnak Denizcilik Nakliyat ve Ticaret AS (Gulnak Shipping Transport & Trading Inc)
9228112,Bulk Carrier,In Trading Fleet,50992,14,613613,Fafalios Shipping SA
9228124,Bulk Carrier,In Trading Fleet,45635,14.3,1739467,STX Marine Service Co Ltd
9228150,Bulk Carrier,In Trading Fleet,50913,14.01,5177491,COSCO Wallem Ship Management Co Ltd
9228174,Bulk Carrier,In Trading Fleet,170622,13.9,5529167,TMS Dry Ltd
9228203,Bulk Carrier,In Trading Fleet,28407,14,5831793,Zhangjiagang Oceanicwit Shipping Co Ltd
9228227,Bulk Carrier,In Trading Fleet,28494,14,5443149,Genimar Shipping & Trading SA
9228241,Bulk Carrier,In Trading Fleet,19092,13.2,6022187,Shayarco SAL (Offshore)
9228265,Bulk Carrier,In Trading Fleet,30778,12,6195089,Eikano Shipping & Trading SA
9228277,General Cargo Ship,In Trading Fleet,7716,11,9991001,Unknown
9228320,Chemical/Products Tanker,In Trading Fleet,34465,15,1314037,MTM Ship Management Pte Ltd
9228332,Products Tanker,In Trading Fleet,7970,11,6197187,SeverTransBunker Co Ltd
9228394,Open Hatch Cargo Ship,In Trading Fleet,32256,13.59,5562576,Fgas Petrol JSC
9228538,Container Ship (Fully Cellular),In Trading Fleet,36003,21,6203527,Crios Shipping LLC
9228576,Container Ship (Fully Cellular),In Trading Fleet,30369,21,1535947,MSC Shipmanagement Ltd
9228588,Chemical/Products Tanker,In Trading Fleet,4454,12,5292007,Alasonya Denizcilik Ticaret Ltd Sti
9228617,General Cargo Ship,In Trading Fleet,7481,16.5,5651409,Jungerhans Heavy-Lift-Fleet Services GmbH & Co KG
9228643,Bulk Carrier,In Trading Fleet,35062,14.5,5783735,New Horizon Shipmanagement SA
9228722,Chemical Tanker,In Trading Fleet,25415,16.5,1814406,Hwei Li Shipping Agencies Ltd
9228746,Container Ship (Fully Cellular),In Trading Fleet,24244,19.1,5193283,Shanghai Ocean Shipping Co Ltd
9228758,Container Ship (Fully Cellular),In Trading Fleet,24259,19.1,5193283,Shanghai Ocean Shipping Co Ltd
9228760,Container Ship (Fully Cellular),In Trading Fleet,24261,19.1,5193283,Shanghai Ocean Shipping Co Ltd
9228796,Chemical/Products Tanker,In Trading Fleet,42616,12.5,5950011,Matrix Energy Ltd
9228813,Chemical/Products Tanker,In Trading Fleet,37244,14.5,9991001,Unknown
9228837,Chemical/Products Tanker,In Trading Fleet,37229,14.5,1984303,PT Waruna Nusa Sentana
9228887,Products Tanker,In Trading Fleet,9996,13.5,9991001,Unknown
9229013,Products Tanker,In Trading Fleet,9974,11.78,1785877,Pritchard-Gordon Tankers Ltd
9229025,Chemical/Products Tanker,In Trading Fleet,12681,13,1852847,Unibros Shipping Corp
9229051,Chemical/Products Tanker,In Trading Fleet,7559,12,9991001,Unknown
9229075,General Cargo Ship,In Trading Fleet,7901,12,5721483,Favoriet Shipmanagement BV
9229142,LPG Tanker,In Trading Fleet,4999,14.2,1704039,Transgas Shipping Lines SAC
9229178,General Cargo Ship,In Trading Fleet,3360,13,1574652,Faversham Ships Ltd
9229233,LPG Tanker,In Trading Fleet,16897,16.55,519241,Naftomar Shipping & Trading Co Ltd
9229336,Container Ship (Fully Cellular),In Trading Fleet,78231,24.95,1605338,Technomar Shipping Inc
9229362,Crude Oil Tanker,In Trading Fleet,105541,14,6170108,Peridot Ship Management
9229403,Vehicles Carrier,In Trading Fleet,16837,12,1727098,Kagoshima Senpaku Kaisha Ltd
9229415,Bulk Carrier,In Trading Fleet,88291,14.71,5325704,Dongguan Haichang Shipping Co Ltd
9229568,Products Tanker,In Trading Fleet,3338,10,5812723,Navemestra Servicos de Navegacao Ltda
9229570,Products Tanker,In Trading Fleet,3338,10,5812723,Navemestra Servicos de Navegacao Ltda
9229609,Container Ship (Fully Cellular),In Trading Fleet,16400,19.5,6127973,Dalian Zhida Ship Management Co Ltd
9229685,Bulk Carrier,In Trading Fleet,52000,13.8,4077771,Equinox Maritime Ltd
9229697,Bulk Carrier,In Trading Fleet,52009,14.2,4077771,Equinox Maritime Ltd
9229829,Container Ship (Fully Cellular),In Trading Fleet,100006,25,217944,Hapag-Lloyd AG
9229831,Container Ship (Fully Cellular),In Trading Fleet,100003,25,217944,Hapag-Lloyd AG
9229855,Container Ship (Fully Cellular),In Trading Fleet,100019,25,217944,Hapag-Lloyd AG
9229879,Bulk Carrier,In Trading Fleet,20001,14,5998511,RekNav Management Co Ltd
9229996,Bulk Carrier,In Trading Fleet,37180,13.71,522961,Anglo-Eastern Ship Management Ltd
9230000,Bulk Carrier,In Trading Fleet,37058,13.71,522961,Anglo-Eastern Ship Management Ltd
9230012,Chemical/Products Tanker,In Trading Fleet,16225,14,5430081,Taihua Ship Management Ltd
9230127,Bulk Carrier,In Trading Fleet,50170,14.5,1252195,Eastern Mediterranean Maritime Ltd (EASTMED)
9230177,Chemical/Products Tanker,In Trading Fleet,8319,13,5880182,C & P Logistics Co Ltd
9230206,Container Ship (Fully Cellular),In Trading Fleet,23672,21,1520088,Wan Hai Lines Ltd
9230232,Container Ship (Fully Cellular),In Trading Fleet,23643,21,1520088,Wan Hai Lines Ltd
9230311,Container Ship (Fully Cellular),In Trading Fleet,71359,20,22438,Danaos Shipping Co Ltd
9230335,Chemical/Products Tanker,In Trading Fleet,3415,12,5370152,Woolim Marine Co Ltd
9230426,Products Tanker,In Trading Fleet,37263,14.5,5639083,Safe Sea Services Sarl
9230490,Container Ship (Fully Cellular),In Trading Fleet,85802,24,750415,Mediterranean Shipping Co Srl
9230751,Bulk Carrier,In Trading Fleet,52428,14.5,5935111,Worldera Corporation Pte Ltd
9230775,Container Ship (Fully Cellular),In Trading Fleet,22968,19.5,1535947,MSC Shipmanagement Ltd
9230892,Crude Oil Tanker,In Trading Fleet,149921,15.5,5161328,Hellespont Ship Management GmbH & Co KG
9230907,Crude Oil Tanker,In Trading Fleet,319430,15.2,5137597,New Shipping Ltd
9230921,Bulk Carrier,In Trading Fleet,26747,13,81092,Navarone SA
9230933,"FSO, Gas",In Trading Fleet,142823,0,9991001,Unknown
9230969,Crude Oil Tanker,In Trading Fleet,298330,12,6234511,Arc Ship Management Ltd
9230983,Cement Carrier,In Trading Fleet,10446,13.9,9991001,Unknown
9231028,General Cargo Ship,In Trading Fleet,7644,12.5,5978725,Xiamen Xinfeng Shipping Co Ltd
9231030,Bulk Carrier,In Trading Fleet,74381,12.5,6035894,Safety Sailing Ship Management (Tianjin) Co Ltd
9231092,General Cargo Ship,In Trading Fleet,30538,19.4,5533765,Vineta Bereederungsgesellschaft mbH
9231133,General Cargo Ship,In Trading Fleet,30396,19.5,5348114,Held Bereederungs GmbH & Co KG
9231145,General Cargo Ship,In Trading Fleet,30345,19.4,5544901,Subsidiary Company 'Atlantic Ship Management'
9231157,Container Ship (Fully Cellular),In Trading Fleet,34622,22.1,22438,Danaos Shipping Co Ltd
9231183,Chemical/Products Tanker,In Trading Fleet,37320,14,5677533,Marwave Shipmanagement Srl
9231274,Bulk Carrier,In Trading Fleet,76623,14.6,5864050,Skaarup Ship Management Co Ltd
9231303,Bulk Carrier,In Trading Fleet,76623,14.4,1714809,SNP Shipping Services Pvt Ltd
9231315,Bulk Carrier,In Trading Fleet,76662,14.4,9991001,Unknown
9231470,Container Ship (Fully Cellular),In Trading Fleet,34662,21.9,5808451,Maersk A/S
9231482,Container Ship (Fully Cellular),In Trading Fleet,34654,21,1644321,Eurobulk Ltd
9231494,Container Ship (Fully Cellular),In Trading Fleet,34649,21.9,1644321,Eurobulk Ltd
9231509,Crude Oil Tanker,In Trading Fleet,159314,15.2,5897756,SCF Management Services (Dubai) Ltd
9231511,Products Tanker,In Trading Fleet,72910,14.9,6181456,Zhiyuan International Ship Management Ltd
9231561,Bulk Carrier,In Trading Fleet,52822,15,6186474,Shanghai Qiguan Ship Management Co Ltd
9231602,Products Tanker,In Trading Fleet,19117,12,1852847,Unibros Shipping Corp
9231676,Bulk Carrier,In Trading Fleet,28740,15.3,544545,Alloceans Shipping Co Ltd
9231822,Container Ship (Fully Cellular),In Trading Fleet,66685,24,9991001,Unknown
9231846,Container Ship (Fully Cellular),In Trading Fleet,11287,15,632171,Reederei Bartels
9231987,Bulk Carrier,In Trading Fleet,50457,14.5,9991001,Unknown
9231999,Bulk Carrier,In Trading Fleet,50457,14.5,6195751,Weihai Hongtong Shipping Co Ltd
9232022,Chemical/Products Tanker,In Trading Fleet,40165,14.5,6107675,Miracle Shipman Ltd
9232060,Bulk Carrier,In Trading Fleet,169770,14.6,5781402,Olympia Ocean Carriers Ltd
9232163,Bulk Carrier,In Trading Fleet,53806,14.4,1476739,Blue Planet Shipping Ltd
9232187,Bulk Carrier,In Trading Fleet,53806,14.4,9991001,Unknown
9232321,LPG Tanker,In Trading Fleet,6634,15,9991001,Unknown
9232369,Chemical/Products Tanker,In Trading Fleet,17427,14.4,5959460,Taikun Shipping Co Ltd
9232371,Bulk Carrier,In Trading Fleet,76296,13.5,6021745,Shanghai Sunyoung Logistics Co Ltd
9232400,Container Ship (Fully Cellular),In Trading Fleet,33742,21,5108185,Asia Pacific Shipmanagement Pte Ltd
9232448,Crude/Oil Products Tanker,In Trading Fleet,106149,14.5,69081,Eletson Corp
9232462,General Cargo Ship,In Trading Fleet,17520,15,1535947,MSC Shipmanagement Ltd
9232503,LPG Tanker,In Trading Fleet,53503,17,9991001,Unknown
9232553,Chemical/Products Tanker,In Trading Fleet,16456,12.5,1638623,Korea Shipmanagers Co Ltd
9232565,Container Ship (Fully Cellular),In Trading Fleet,54155,25.2,217944,Hapag-Lloyd AG
9232632,Container Ship (Fully Cellular),In Trading Fleet,22900,19.6,1535947,MSC Shipmanagement Ltd
9232644,Container Ship (Fully Cellular),In Trading Fleet,22968,19,1535947,MSC Shipmanagement Ltd
9232656,Container Ship (Fully Cellular),In Trading Fleet,22967,19.6,1535947,MSC Shipmanagement Ltd
9232709,Crude/Oil Products Tanker,In Trading Fleet,45823,14,1578540,Nanjing Tanker Corp
9232711,Crude/Oil Products Tanker,In Trading Fleet,45823,14,1578540,Nanjing Tanker Corp
9232802,Open Hatch Cargo Ship,In Trading Fleet,47818,14.15,5571441,Gearbulk Norway AS
9232840,Chemical/Products Tanker,In Trading Fleet,7082,14.5,6158423,Sera Shipping Co
9232876,Crude Oil Tanker,In Trading Fleet,106074,15,6193547,Sygnius Ship Management Pvt Ltd
9232888,Crude Oil Tanker,In Trading Fleet,106074,15,5892812,Avin International Ltd
9232890,Container Ship (Fully Cellular),In Trading Fleet,51020,24.25,1535947,MSC Shipmanagement Ltd
9232917,Crude Oil Tanker,In Trading Fleet,113976,14,52882,The Shipping Corporation of India Ltd (SCI)
9232929,Crude Oil Tanker,In Trading Fleet,159453,15.2,6144601,Edge Maritime Inc
9232931,Crude/Oil Products Tanker,In Trading Fleet,159367,15.2,5003176,Salmar Shipping Ltd
9232955,Chemical/Products Tanker,In Trading Fleet,14796,14.8,5323981,Tarntank Ship Management AB
9232967,Products Tanker,In Trading Fleet,9986,14.5,1841167,Gulf Energy Ltd
9232979,Container Ship (Fully Cellular),In Trading Fleet,8627,17,375163,Matson Navigation Co Inc
9232981,Container Ship (Fully Cellular),In Trading Fleet,8672,17,1535686,Administradora de Naves Humboldt Ltda
9233167,Vehicles Carrier,In Trading Fleet,12561,20,5815657,Pasha Hawaii Holdings LLC
9233179,Bulk Carrier,In Trading Fleet,74875,15,9991001,Unknown
9233210,Crude Oil Tanker,In Trading Fleet,164236,15.55,1898811,Columbia Shipmanagement (Deutschland) GmbH
9233222,Crude Oil Tanker,In Trading Fleet,164445,15.55,9991001,Unknown
9233260,Bulk Carrier,In Trading Fleet,74910,15,613613,Fafalios Shipping SA
9233301,Bulk Carrier,In Trading Fleet,76421,13.85,17463,Wallem Shipmanagement Ltd (WSM)
9233349,Crude Oil Tanker,In Trading Fleet,106129,13.45,6113237,Shanghai Legendary Ship Management Co Ltd
9233430,Bulk Carrier,In Trading Fleet,45635,14.3,5554810,PL Shipping Co
9233478,Bulk Carrier,In Trading Fleet,91439,14.49,1592194,PT Samudera Indonesia Ship Management (PT SISM)
9233480,Bulk Carrier,In Trading Fleet,46513,14.3,4059174,Xinliang Shipping Co Ltd of China Grains & Logistics Corp
9233492,Bulk Carrier,In Trading Fleet,74247,12.5,9991001,Unknown
9233519,Bulk Carrier,In Trading Fleet,77509,14.32,5885431,TMS Shipping Co Ltd
9233521,Bulk Carrier,In Trading Fleet,74255,14.09,9991001,Unknown
9233533,Bulk Carrier,In Trading Fleet,77514,14.32,5756700,Tianjin Younysun Shipping Group Co Ltd
9233545,Bulk Carrier,In Trading Fleet,105708,15.1,752001,Hachiuma Steamship Co Ltd (Hachiuma Kisen KK)
9233600,Bulk Carrier,In Trading Fleet,50236,14.5,5552963,Brave Royal Ship Management (BD) Ltd
9233739,Crude Oil Tanker,In Trading Fleet,309287,12,6018627,Cosmoship Maritime Corp
9233753,Crude Oil Tanker,In Trading Fleet,309064,15.05,6162377,OnBoard Ship Management Ltd
9233765,Crude Oil Tanker,In Trading Fleet,159999,15.55,1313802,V Ships Norway AS
9233789,Crude Oil Tanker,In Trading Fleet,299996,12,6104976,Sparta Shipmanagement Ltd
9233791,Crude Oil Tanker,In Trading Fleet,309449,12,6171049,Monte Nero Management SA
9233806,Shuttle Tanker,In Trading Fleet,92995,14.5,1533455,Altera Infrastructure Norway AS
9233818,Shuttle Tanker,In Trading Fleet,92968,14.5,1533455,Altera Infrastructure Norway AS
9233844,Container Ship (Fully Cellular),In Trading Fleet,50841,24.39,34961,Zodiac Maritime Ltd
9233856,Container Ship (Fully Cellular),In Trading Fleet,50790,24.39,34961,Zodiac Maritime Ltd
9233868,Bulk Carrier,In Trading Fleet,28186,13.5,6195778,Gloria Chartering SA
9233870,Chemical/Products Tanker,In Trading Fleet,6252,13.5,5739159,PT Sukses Inkor Maritim
9233882,Bulk Carrier,In Trading Fleet,52817,14.5,1996491,Gulnak Denizcilik Nakliyat ve Ticaret AS (Gulnak Shipping Transport & Trading Inc)
9233894,Vehicles Carrier,In Trading Fleet,1277,14.8,9991001,Unknown
9233935,Products Tanker,In Trading Fleet,4999,13.3,307678,Yawatahama Shosen KK (Yawatahama Shosen Co Ltd)
9233973,Products Tanker,In Trading Fleet,45763,14.5,6210798,Pioneer Ships Management Service Co Ltd
9233985,Bulk Carrier,In Trading Fleet,47314,14.5,5994773,Montana Ship Management Inc
9234056,Limestone Carrier,In Trading Fleet,13398,13,9991001,Unknown
9234111,Container Ship (Fully Cellular),In Trading Fleet,34183,21,5463827,CMA CGM International Shipping Co Pte Ltd
9234135,Container Ship (Fully Cellular),In Trading Fleet,34133,21,1879538,Mercosul Line Navegacao e Logistica Ltda (Mercosul Line)
9234214,Bulk Carrier,In Trading Fleet,48913,14.5,9991001,Unknown
9234226,Bulk Carrier,In Trading Fleet,48913,14.5,9991001,Unknown
9234290,General Cargo Ship,In Trading Fleet,9600,15,303304,Wagenborg Shipping BV
9234331,Container Ship (Fully Cellular),In Trading Fleet,69023,25.7,5193283,Shanghai Ocean Shipping Co Ltd
9234367,Container Ship (Fully Cellular),In Trading Fleet,68961,25.7,5193283,Shanghai Ocean Shipping Co Ltd
9234379,Container Ship (Fully Cellular),In Trading Fleet,12895,20,5491569,Qingdao Pengteng International Ship Management Co Ltd (Qingdao Pengteng Ship Management Co Ltd)
9234422,Container Ship (Fully Cellular),In Trading Fleet,3820,14,6036226,Logmar OU
9234484,Chemical/Products Tanker,Broken Up,44598,16,5015651,European Product Carriers Ltd
9234501,Chemical/Products Tanker,In Trading Fleet,45467,16,6206889,Imza Marin Denizcilik AS
9234599,Chemical/Products Tanker,In Trading Fleet,46733,13.4,5646876,Fareast Shipmanagement Hongkong Ltd
9234628,Chemical/Products Tanker,In Trading Fleet,23998,15,5417611,"Carl Buttner GmbH & Co KG, Carl Buttner Shipmanagement GmbH"
9234642,Crude Oil Tanker,In Trading Fleet,164533,15.3,6104976,Sparta Shipmanagement Ltd
9234666,Crude Oil Tanker,In Trading Fleet,317972,15.6,6200037,Eternity Ship Management Ltd
9234680,Chemical/Products Tanker,In Trading Fleet,37383,14.5,9991001,Unknown
9234771,General Cargo Ship,In Trading Fleet,11248,13.3,5109957,SHL Maritime Co Ltd
9235000,Crude Oil Tanker,In Trading Fleet,105322,14,9991001,Unknown
9235050,Container Ship (Fully Cellular),In Trading Fleet,61487,23.5,750415,Mediterranean Shipping Co Srl
9235062,Chemical/Products Tanker,In Trading Fleet,37620,15,6069701,Stolt Tankers BV
9235141,Open Hatch Cargo Ship,In Trading Fleet,47852,14.15,5571441,Gearbulk Norway AS
9235220,Chemical/Products Tanker,In Trading Fleet,1069,10.9,560236,KK JS Marine
9235232,Bulk Carrier,In Trading Fleet,74750,14.7,5485361,Seadar Shipmanagement SA
9235244,"FSO, Oil",In Trading Fleet,305704,15.05,6137056,Singapore Strait Shipmanager Pte Ltd
9235268,Crude Oil Tanker,In Trading Fleet,441561,14.5,1204107,Euronav Ship Management SAS
9235414,Vehicles Carrier,In Trading Fleet,6864,18.5,1844851,Stargate Shipmanagement GmbH
9235464,Chemical/Products Tanker,In Trading Fleet,22820,13,5685462,AR Shipping LLC
9235488,General Cargo Ship,In Trading Fleet,8959,14,5361738,Gemiciler Denizcilik Nakliyat Spor Yapi Tesisleri Sanayi ve Ticaret Ltd Sti
9235505,General Cargo Ship,In Trading Fleet,4850,12,1820118,Hermann Lohmann Schiffahrtsverwaltungs GmbH
9235555,Container Ship (Fully Cellular),In Trading Fleet,61609,24,522961,Anglo-Eastern Ship Management Ltd
9235579,Container Ship (Fully Cellular),In Trading Fleet,61636,24,1822162,ZEABORN Ship Management GmbH & Cie KG
9235608,Container Ship (Fully Cellular),In Trading Fleet,12895,20,1535947,MSC Shipmanagement Ltd
9235610,Container Ship (Fully Cellular),In Trading Fleet,12895,20,1535947,MSC Shipmanagement Ltd
9235684,Products Tanker,In Trading Fleet,7970,11,6197187,SeverTransBunker Co Ltd
9235701,Chemical/Products Tanker,In Trading Fleet,40083,15,5796237,Azimuth Management Co Ltd
9235713,Crude Oil Tanker,In Trading Fleet,105109,15.11,5707428,Pantheon Tankers Management Ltd
9235725,Crude Oil Tanker,In Trading Fleet,105166,15.2,6239349,Lagosmarine Ltd
