InternationalMaritimeOrganizationNumber,VesselTypeName,VesselStatusName,DeadWeightTonnage,Speed,ManagementcompanyCode,ManagementCompany
9582594,Chemical/Products Tanker,In Trading Fleet,16908,12,6037184,Dalian Mingyang International Ship Management Co Ltd
9582635,General Cargo Ship,In Trading Fleet,7446,12,5507636,Hao Liang Yun Shipping Co Ltd
9582702,Crew Boat,In Trading Fleet,129,20.5,9991001,Unknown
9582738,Chemical/Products Tanker,In Trading Fleet,14445,13.4,5927549,Shanghai Jiongyuan Shipping Co Ltd
9582776,General Cargo Ship,In Trading Fleet,5219,12,5366654,Tu Cuong Co Ltd
9582843,Bulk Carrier,In Trading Fleet,82113,14.5,6078554,Virono Shipping SA
9582867,General Cargo Ship,In Trading Fleet,3650,10.5,1820118,Hermann Lohmann Schiffahrtsverwaltungs GmbH
9582946,Bulk Carrier,In Trading Fleet,81893,14.3,5021892,Primerose Shipping Co Ltd
9582958,Bulk Carrier,In Trading Fleet,82138,14.5,102695,Polska Zegluga Morska PP (POLSTEAM)
9582960,Bulk Carrier,In Trading Fleet,82138,14.5,102695,Polska Zegluga Morska PP (POLSTEAM)
9582972,Bulk Carrier,In Trading Fleet,82119,14.5,283257,NS United Kaiun Kaisha Ltd
9582984,Bulk Carrier,In Trading Fleet,82151,14.5,283257,NS United Kaiun Kaisha Ltd
9582996,Bulk Carrier,In Trading Fleet,81782,14.2,6064745,Synergy Ocean Maritime Inc
9583017,Bulk Carrier,In Trading Fleet,57631,14,5105614,Pacific Basin Shipping (HK) Ltd
9583043,General Cargo Ship,In Trading Fleet,7805,11.5,235818,Schiffahrtskontor Tom Worden GmbH & Co KG
9620554,Bulk Carrier,In Trading Fleet,115088,14.09,5926452,COSCO Shipping Bulk Co Ltd
9620657,General Cargo Ship,In Trading Fleet,12634,15,284944,Sloman Neptun Schiffahrts-Aktiengesellschaft
9620695,Vehicles Carrier,In Trading Fleet,16758,20.6,640785,World Marine Co Ltd
9620827,Heavy Load Carrier,In Trading Fleet,22081,10,9991001,Unknown
9621003,Bulk Carrier,In Trading Fleet,37113,14.2,5930415,Paloma Shipping Corp
9621015,Bulk Carrier,In Trading Fleet,56928,14.2,5575308,Shanghai Baosteel Shipping Co Ltd
9621039,Bulk Carrier,In Trading Fleet,35501,13.9,1046952,Semih Sohtorik Management & Agency Inc (Semih Sohtorik Deniz Isletmeciligi ve Agentelik AS)
9621089,General Cargo Ship,In Trading Fleet,2368,12,4174649,Viet Phu JSC
9621170,Bulk Carrier,In Trading Fleet,33752,14.3,5895088,POS SM Co Ltd
9659725,LNG Tanker,In Trading Fleet,93301,19.19,5683789,HMM Ocean Service Co Ltd
9659737,Bulk Carrier,In Trading Fleet,45556,14,5596374,Wisdom Marine International Inc
9659749,Bulk Carrier,In Trading Fleet,45566,14,5596374,Wisdom Marine International Inc
9659763,Bulk Carrier,In Trading Fleet,81568,13.56,5895088,POS SM Co Ltd
9659775,Bulk Carrier,In Trading Fleet,81667,13.69,5895088,POS SM Co Ltd
9659828,Bulk Carrier,In Trading Fleet,95711,14.9,5507517,Synergy Marine Pte Ltd
9659919,Bulk Carrier,In Trading Fleet,61393,13.98,5349351,Seamar Management SA
9659921,Bulk Carrier,In Trading Fleet,27930,14,283257,NS United Kaiun Kaisha Ltd
9659933,Bulk Carrier,In Trading Fleet,35000,14,5069261,New Unite Marine Co Ltd
9659957,Heavy Load Carrier,In Trading Fleet,17623,11,1887008,Fair Shipmanagement Co Ltd
9698757,Fishing Vessel,In Trading Fleet,2453,17,9991001,Unknown
9698771,Crude Oil Tanker,In Trading Fleet,310421,15.6,5912498,COSCO Shipping Energy Transportation Co Ltd
9698800,Bulk Carrier,In Trading Fleet,63038,14.26,5781725,Super-Eco Bulkers Management Inc
9698874,Bulk Carrier,In Trading Fleet,81032,12,6029153,Augustea Technoservices Ltd
9698991,General Cargo Ship,In Trading Fleet,6722,14,9991001,Unknown
9699177,Bulk Carrier,In Trading Fleet,60550,13.97,5184254,Ishima Pte Ltd
9699189,Container Ship (Fully Cellular),In Trading Fleet,112231,22,5808451,Maersk A/S
9699270,Bulk Carrier,In Trading Fleet,63605,14.06,5482305,Eagle Ship Management LLC
9699282,Bulk Carrier,In Trading Fleet,63655,14.2,5482305,Eagle Ship Management LLC
9699335,Bulk Carrier,In Trading Fleet,63577,14.13,1215472,Bremer Bereederungsgesellschaft mbH & Co KG
9699359,Bulk Carrier,In Trading Fleet,63495,13.91,5482305,Eagle Ship Management LLC
9699373,Bulk Carrier,In Trading Fleet,63529,14.7,5482305,Eagle Ship Management LLC
9736626,Chemical/Products Tanker,In Trading Fleet,12494,13.38,5634079,Dorval Ship Management KK
9736638,Chemical/Products Tanker,In Trading Fleet,12479,13.5,1834165,Executive Ship Management Pte Ltd
9736640,Bulk Carrier,In Trading Fleet,63368,14.2,5774856,Top Wisdom Shipping Management Co Ltd
9736688,Chemical/Products Tanker,In Trading Fleet,7139,10.5,4079336,Palmali Gemicilik ve Acentelik AS (Palmali Shipping & Agency)
9736731,Bulk Carrier,In Trading Fleet,206960,14.71,1601573,Fleet Management Ltd
9736810,Vehicles Carrier,In Trading Fleet,20900,21,1546779,Stamco Ship Management Co Ltd
9736925,Bulk Carrier,In Trading Fleet,182625,15.25,522961,Anglo-Eastern Ship Management Ltd
9736975,Landing Craft,In Trading Fleet,340,16,9991001,Unknown
9737060,Bulk Carrier,In Trading Fleet,60297,13.52,931732,Kasuga Shipping Co Ltd
9737072,Bulk Carrier,In Trading Fleet,60155,14.12,151981,Marfin Management SAM
9737187,LNG Tanker,In Trading Fleet,96779,19.1,5897756,SCF Management Services (Dubai) Ltd
9737204,Products Tanker,In Trading Fleet,1234,0,281499,Senko Co Ltd
9775749,Container Ship (Fully Cellular),In Trading Fleet,40079,19,5808451,Maersk A/S
9775763,Container Ship (Fully Cellular),In Trading Fleet,39964,19,5808451,Maersk A/S
9776195,Container Ship (Fully Cellular),In Trading Fleet,191640,21,1249148,Orient Overseas Container Line Ltd (OOCL)
9776200,Container Ship (Fully Cellular),In Trading Fleet,191570,21,1249148,Orient Overseas Container Line Ltd (OOCL)
9815305,Bulk Carrier,In Trading Fleet,16201,13.8,523249,First Marine Service Co Ltd
9815317,General Cargo Ship,In Trading Fleet,4938,10.5,6028124,Briese Dry Cargo GmbH & Co KG
9815329,General Cargo Ship,In Trading Fleet,4938,10.5,6028124,Briese Dry Cargo GmbH & Co KG
9815331,General Cargo Ship,In Trading Fleet,4938,10.5,6028124,Briese Dry Cargo GmbH & Co KG
9854260,Chemical/Products Tanker,In Trading Fleet,7992,11.5,9991001,Unknown
9854301,Bulk Carrier,In Trading Fleet,81206,14,1983906,Bernhard Schulte Shipmanagement (Singapore) Pte Ltd
9854478,Chemical/Products Tanker,In Trading Fleet,10520,12.5,321889,Utkilen AS
9854492,Container Ship (Fully Cellular),In Trading Fleet,22497,20.29,260422,Osaka Asahi Kaiun Co Ltd (Osaka Asahi Marine Transportation Co Ltd)
