PortSkey,PortName,Latitude,Longitude
2286,Mahmudia,45.133333,29.133333
2287,Beilun,29.938334,121.904999
2288,Point Lisas Ports,10.401667,-61.494167
2290,Porto Foxi,39.09,9.055
2291,Terneuzen,51.34,3.811666
2292,Zhenhai,39.683333,122.966667
2294,Macin,45.25,28.166667
2296,Port of Spain,10.653334,-61.525002
2297,Prai,5.366666,100.363335
2298,Basse-Terre,16,-61.716667
2299,Isaccea,45.266667,28.466667
2301,Catalina,48.516667,-53.083333
2302,Zhoushan,30.006666,122.095001
2303,Nanaimo,49.165833,-123.925003
2304,Praia Formosa,32.643333,-16.91
2306,Clarkson,43.491433,-79.607583
2310,Anqing,30.497696,117.044586
2311,Ponta da Madeira,-2.55,-44.366667
2313,Harsova,44.683333,27.95
2314,Jebel Dhanna,24.24,52.668335
2316,Tilbury,51.453293,0.333007
2318,Rotterdam,51.901669,4.435
2319,Port Marlborough,-41.283333,174
2320,Calarasi,44.2,27.333333
2321,Comeau Bay,49.232498,-68.130836
2323,Ashtart Terminal,34.223331,11.391666
2325,Puerto de La Luz y Las Palmas,28.125,-15.41
2326,Funchal,32.643333,-16.91
2327,Dunedin,-45.880001,170.509995
2328,Barcadera,12.483333,-69.983333
2329,Oltenita,44.083333,26.65
2330,Bizerte,37.276498,9.890271
2331,Porto Santo,33.066667,-16.333333
2332,Wilmington (USA-Delaware),39.718334,-75.518333
2333,Oshawa,43.86705,-78.823683
2335,Port Chalmers,-45.81274,170.628281
2336,Giurgiu,43.883333,25.95
2337,Mangalia,43.794483,28.580267
2338,Duncan Bay,50.066667,-125.283333
2339,Swinoujscie,53.895,14.253333
2340,Gabes,33.923332,10.103333
2343,Puerto Nuevo (Puerto Rico),18.455,-66.114998
2344,Ravensbourne,-45.866667,170.55
2345,Orsova,44.7,22.4
2346,Tulcea,45.183333,28.8
2347,Puerto Barrios,15.7375,-88.613335
2348,La Skhirra,34.305,10.158333
2352,Ras Al Khaimah,25.783333,55.95
2353,Stigsnaesvaerkets Havn,55.204166,11.241667
2354,Limboh Terminal,3.976667,9.125
2355,Drobeta Turnu Severin,44.633333,22.65
2356,Sfax,34.726665,10.775
2358,Pulau Ayer Chawan,1.266667,103.7
2359,San Jose (Guatemala),13.913333,-90.82917
2360,Harbour Breton,47.483333,-55.833333
2361,Caracas Bay,12.066667,-68.85
2363,Mayumba,2.983333,10.283333
2364,Red Dog,67.574997,-164.068329
2365,Santo Tomas de Castilla,15.7,-88.616669
2367,Pictou,45.674034,-62.715305
2368,Sousse,35.826668,10.645833
2369,Gazenica,44.1,15.266667
2371,Great Yarmouth,52.584999,1.73
2372,Alcudia,39.833332,3.14
2376,Necochea,-38.575001,-58.709999
2377,Muskegon,43.216667,-86.233333
2379,Oranjestad (Aruba),12.518333,-70.043335
2380,Porto Saco,-15.133333,12.133333
2381,San Nicolas (Aruba),12.428333,-69.910004
2384,Carboneras,36.974998,-1.8975
2386,Pulau Sebarok,1.206667,103.800003
2388,Garrucha,37.183334,-1.816667
2389,Aliaga,38.831665,26.955
2390,Khoms,32.683334,14.25
2392,Easter Island,-27.15,-109.416667
2393,Port Alfred,48.334999,-70.85833
2394,Willemstad,12.1079,-68.933533
3991,Yiyang,28.583333,112.316667
3996,Lisahally Port,55.0425,-7.263333
3998,Changsha,28.200001,112.958336
3999,Port Irene,18.366667,122.1
4004,Ardjuna Marine Terminal,-5.9,105.95
4005,Lawi-Lawi Terminal,-1.465,116.809166
4006,Cinta,-5.448333,106.184998
4007,Senipah Terminal,-1.086667,117.253334
4009,Santan Terminal,-0.100833,117.535835
4010,Yancheng,0,0
4012,Tanjung Pandan,-2.75,107.65
4013,Zhuzhou,27.85,113.15
4014,Xiangtan,27.85,112.9
4021,Jiangmen,22.583333,113.066667
4023,Cherchell,36.6,2.2
4024,FSO 'Osi',53.683333,-3.55
4026,Macuro,9.216667,-70.833333
4027,Rayong IRPC Port,12.633333,101.301666
4028,Yueyang,29.366667,113.1
4029,Port Raysut,16.943333,54.006668
4033,Al Shaheen Terminal,26.551666,52.063332
4034,Huainan,32.616667,116.983333
4038,Rockport (USA),27.920834,-82.425003
4039,Rodman Port,8.95,-79.566667
4040,Rokko Island,34.68,135.244995
4042,Salonica,40.633331,22.921667
4048,Vaksdal,60.477283,5.733583
4050,Nafplion,37.566667,22.8
4051,Newcastle upon Tyne,54.966667,-1.6
4052,Pisco,-13.76,-76.291664
4053,Tokai,35.046665,136.861664
4054,Chita,34.971668,136.818329
4055,Middlesbrough,54.581665,-1.213333
4056,Honningsvag,70.978333,25.953333
4057,Zouk Terminal,33.966667,35.633333
4059,Mali Losinj,44.533333,14.466667
4063,Nordfjordur,65.14109,-13.689515
4064,Enzeli,37.466667,49.466667
4067,Stevns Pier,55.316667,12.45
4068,Sapangar Bay,5.995,116.076668
4069,Sipitang,5.043334,115.510002
4071,Ust-Luga,59.686001,28.417667
4072,Hoek van Holland,51.901669,4.435
4075,Priolo Gargallo,37.118332,15.271667
4076,Erawan Terminal,9.066667,101.4
4077,Nonoc,9.813333,125.625
4078,Lucanin,14.466667,120.616667
4080,Poro Point,16.614166,120.296669
4081,Keflavik - Njardvik,64.016667,-22.566667
4082,Higashi-Ogishima,35.503334,139.75
4090,Miquelon,47.1,-56.383333
4091,Sedef,40.763332,29.530001
4092,Burlington Bay,43.283333,-79.833336
4094,Sriracha Oil Terminals,13.158334,100.879997
4095,Tiverton,41.628334,-71.214996
4096,Ibiza,38.911667,1.441667
4097,Cristobal,9.349999,-79.919167
4098,Balboa,8.953333,-79.570831
4099,Taesan,37.026665,126.349998
4100,North Kingstown,41.803333,-71.39167
4102,Tanjung Pelepas,1.358333,103.543335
4104,East Port Said,31.216667,32.35
4105,Balchik,43.384998,28.178333
4106,Tanjung Gerem,-5.921409,105.995711
4108,Gangavaram,17.65,83.25
4109,Metkovic,43.05,17.633333
4111,Ebome Marine Terminal,2.806667,9.786667
4112,Khalifa Bin Salman,26.183332,50.711666
4113,Rosyth,56.02,-3.44
4114,Sokhna,29.65,32.35
4115,Mailiao,23.796667,120.175003
4117,Canso,45.333333,-61
4118,Charlottetown,46.228333,-63.118332
4119,Iqaluit,63.733333,-68.5
4122,Bay Roberts,47.583333,-53.3
4124,Burgeo,47.6,-57.633333
4125,Goose Bay,53.345001,-60.400002
4126,Cap-aux-Meules,47.383333,-61.866667
4127,St Anthony,51.383333,-55.6
4129,Les Mechins,49,-66.966667
4130,Port aux Basques,47.566667,-59.15
4134,Sheet Harbour,44.933333,-62.533333
4136,Cesme,38.324167,26.294167
4137,Temryuk,45.266667,37.366667
4138,Bing Bong,-15.6,136.35
4139,Calaca,13.921524,120.789459
4140,Whiffen Head,47.799999,-54.021667
4141,Lewisporte,49.240002,-55.040001
4144,Cengkareng,-6.15,106.716667
4145,Zarubino,42.616667,131.083333
4146,Prince Rupert,54.321667,-130.316666
4147,Quequen,-38.533333,-58.7
4148,Yanai,33.950001,132.133331
4149,Carmanville,49.366667,-54.266667
4152,Pointe-a-Pitre,16.233334,-61.547501
4153,Greenock,55.956665,-4.76
4154,Rio Cullen Marine Terminal,-52.8,-68.183333
4155,Calcutta,22.553091,88.289474
4158,Mahon,39.890835,4.268333
4159,Hamburg,53.541668,9.931666
4160,Dhamra,20.816667,86.95
4162,Kopli,59.45,24.7
4164,Menzel Bourguiba,37.156666,9.811666
4165,Fuik Bay,12.05,-68.816667
4166,Tjeldbergodden,63.466667,9
4167,FSO Benchamas 2,10.516667,101.316667
4168,FPSO Serpentina,3.8,8.083333
4169,FSO 'Nkossa II',-5.216667,11.6
4171,Kalbut Situbondo Terminal,-7.616667,113.883333
4172,St Michael,63.474167,-162.020828
4173,Vlone,40.446022,19.478308
4176,Marsa Bashayer Export Terminal,19.398333,37.333332
4177,Botas LNG Terminal,40.991665,27.988333
4178,Elefsis,38.033333,23.533333
4179,Van Phong Bay,12.506666,109.385002
4181,Rostov-on-Don,47.233333,39.716667
4182,Breskens,51.383333,3.566667
4183,Manzanillo International Terminal,9.368333,-79.888336
4185,Blexen,53.533333,8.533333
4186,Aktau,43.65,51.15
4187,Puerto Castilla,15.996,-85.966667
4188,Cilacap,-7.751667,109.010002
4189,Vysotsk,60.633333,28.566667
4190,Krasnovodsk,40.016667,52.966667
4191,Olga,54.55,161.116667
4192,Primorsk,60.330002,28.700001
