lcd_id,lcd_version,related_num,r_ncd_id,r_ncd_version,last_updated
37564,12,2,55,1,2019-01-04 00:52:19.970000000
37564,12,3,194,1,2019-01-04 00:52:31.927000000
37792,16,1,268,2,2019-11-04 18:50:40.387000000
37792,16,2,152,1,2019-11-04 18:50:40.400000000
37800,11,1,155,1,2018-08-24 17:16:16.647000000
37800,11,2,266,1,2018-08-24 17:17:18.003000000
37800,16,1,155,1,2021-05-03 17:15:53.210000000
37800,16,2,266,1,2021-05-03 17:16:14.553000000
37921,10,1,372,1,2020-04-15 19:56:53.293000000
37921,12,1,372,1,2020-04-15 19:56:53.293000000
37921,14,1,372,1,2020-04-15 19:56:53.293000000
38158,5,1,372,1,2019-12-13 18:03:35.960000000
38158,7,1,372,1,2019-12-13 18:03:35.960000000
38168,5,1,372,1,2020-05-06 16:46:15.140000000
38168,7,1,372,1,2020-05-06 16:46:15.140000000
38176,5,1,372,1,2019-12-16 17:53:35.330000000
38176,7,1,372,1,2019-12-16 17:53:35.330000000
38385,40,1,240,1,2020-01-08 15:06:44.667000000
38385,40,2,226,3,2020-01-08 15:07:05.173000000
38385,40,3,330,1,2020-01-08 15:07:38.070000000
38528,3,1,226,3,2020-04-15 18:08:19.357000000
38528,3,2,240,1,2020-04-15 18:08:19.360000000
38528,3,3,330,1,2020-04-15 18:08:19.360000000
38834,2,1,372,1,2020-09-15 20:07:46.710000000
38835,3,1,372,2,2021-10-27 16:07:37.967000000
38835,4,1,372,2,2021-10-27 16:07:37.967000000
38837,3,1,281,5,2021-01-26 17:26:10.107000000
38840,2,1,11,2,2020-09-16 16:21:37.493000000
38840,2,2,176,2,2020-09-16 16:21:37.493000000
38840,2,3,15,1,2020-09-16 16:21:37.497000000
38841,3,1,11,2,2021-02-24 17:00:08.553000000
38841,3,2,176,2,2021-02-24 17:00:08.557000000
38841,3,3,15,1,2021-02-24 17:00:08.557000000
38841,5,1,11,2,2021-02-24 17:00:08.553000000
38841,5,2,176,2,2021-02-24 17:00:08.557000000
38841,5,3,15,1,2021-02-24 17:00:08.557000000
38912,7,1,64,1,2020-12-23 19:14:55.177000000
38912,7,2,338,1,2020-12-23 19:14:55.180000000
38912,7,3,14,1,2020-12-23 19:14:55.180000000
38913,6,1,64,1,2020-12-23 19:23:12.950000000
38913,6,2,338,1,2020-12-23 19:23:12.953000000
38913,6,3,14,1,2020-12-23 19:23:12.953000000
38928,18,1,155,1,2021-01-05 16:07:52.230000000
38928,18,3,266,1,2021-01-05 16:08:35.420000000
38931,10,1,155,1,2021-01-06 15:12:45.720000000
