lcd_id,lcd_version,state_id,last_updated
33942,44,8,2021-07-23 21:52:48.760000000
33942,44,10,2021-07-23 21:52:48.760000000
33942,44,11,2021-07-23 21:52:48.760000000
33942,44,17,2021-07-23 21:52:48.760000000
33942,44,21,2021-07-23 21:52:48.760000000
33942,44,25,2021-07-23 21:52:48.760000000
33942,44,29,2021-07-23 21:52:48.760000000
33942,44,32,2021-07-23 21:52:48.760000000
33942,44,35,2021-07-23 21:52:48.760000000
33942,44,36,2021-07-23 21:52:48.760000000
33942,44,45,2021-07-23 21:52:48.760000000
33942,44,49,2021-07-23 21:52:48.760000000
33942,44,52,2021-07-23 21:52:48.760000000
33942,44,53,2021-07-23 21:52:48.760000000
33942,44,58,2021-07-23 21:52:48.760000000
33942,44,59,2021-07-23 21:52:48.760000000
34538,14,8,2021-07-23 21:56:06.733000000
34538,14,10,2021-07-23 21:56:06.733000000
34538,14,11,2021-07-23 21:56:06.733000000
34538,14,17,2021-07-23 21:56:06.733000000
34538,14,21,2021-07-23 21:56:06.733000000
34538,14,25,2021-07-23 21:56:06.733000000
34538,14,29,2021-07-23 21:56:06.733000000
34538,14,32,2021-07-23 21:56:06.733000000
34538,14,35,2021-07-23 21:56:06.733000000
34538,14,36,2021-07-23 21:56:06.733000000
34538,14,45,2021-07-23 21:56:06.733000000
34538,14,49,2021-07-23 21:56:06.733000000
34538,14,52,2021-07-23 21:56:06.733000000
34538,14,53,2021-07-23 21:56:06.733000000
34538,14,58,2021-07-23 21:56:06.733000000
34538,14,59,2021-07-23 21:56:06.733000000
34544,40,2,2019-10-18 16:10:05.037000000
34544,40,3,2019-10-18 16:10:05.037000000
34544,40,12,2019-10-18 16:10:05.037000000
34544,40,14,2019-10-18 16:10:05.037000000
34544,40,19,2019-10-18 16:10:05.037000000
34544,40,20,2019-10-18 16:10:05.037000000
34544,40,22,2019-10-18 16:10:05.037000000
34544,40,23,2019-10-18 16:10:05.037000000
34544,40,31,2019-10-18 16:10:05.037000000
34544,40,34,2019-10-18 16:10:05.037000000
34544,40,39,2019-10-18 16:10:05.037000000
34544,40,42,2019-10-18 16:10:05.037000000
34544,40,43,2019-10-18 16:10:05.037000000
34544,40,48,2019-10-18 16:10:05.037000000
34544,40,50,2019-10-18 16:10:05.037000000
34544,40,51,2019-10-18 16:10:05.037000000
34547,33,2,2019-10-14 16:55:55.630000000
34547,33,3,2019-10-14 16:55:55.630000000
34547,33,12,2019-10-14 16:55:55.630000000
34547,33,14,2019-10-14 16:55:55.630000000
34547,33,19,2019-10-14 16:55:55.630000000
34547,33,20,2019-10-14 16:55:55.630000000
34547,33,22,2019-10-14 16:55:55.630000000
34547,33,23,2019-10-14 16:55:55.630000000
34547,33,31,2019-10-14 16:55:55.630000000
34547,33,34,2019-10-14 16:55:55.630000000
34547,33,39,2019-10-14 16:55:55.630000000
34547,33,42,2019-10-14 16:55:55.630000000
34547,33,43,2019-10-14 16:55:55.630000000
34547,33,48,2019-10-14 16:55:55.630000000
34547,33,50,2019-10-14 16:55:55.630000000
34547,33,51,2019-10-14 16:55:55.630000000
34548,38,2,2021-10-29 14:35:49.223000000
34548,38,3,2021-10-29 14:35:49.223000000
34548,38,12,2021-10-29 14:35:49.223000000
34548,38,14,2021-10-29 14:35:49.223000000
34548,38,19,2021-10-29 14:35:49.223000000
34548,38,20,2021-10-29 14:35:49.223000000
34548,38,22,2021-10-29 14:35:49.223000000
